MA,V,Visa_Inc.,Mastercard,Visa_z,MA_z,Visa_7_day_profit,MA_7_day_profit
556.5789184570312,348.8817443847656,2441,1742,1.7642430388993153,1.356129952492325,14.048370361328125,-15.14111328125
563.905517578125,343.4731750488281,2111,1837,0.9363649766420876,1.5457515994572455,9.51470947265625,-7.087890625
557.3553466796875,337.3885498046875,2610,1857,2.014611935542329,1.529738648143177,2.005828857421875,-14.22528076171875
567.2304077148438,340.17236328125,2138,2127,0.8881933321053748,2.082861371429417,-0.996917724609375,-8.053466796875
563.4775390625,335.4796447753906,1963,1763,0.4684592164178315,1.1625295563224838,-8.6177978515625,-17.63983154296875
566.5535278320312,337.7762756347656,1835,1630,0.16602175525758509,0.821912874774268,-5.3052978515625,-12.51312255859375
558.6793823242188,330.1705017089844,1779,1464,0.0219486475564054,0.4084972170087737,-11.188018798828125,-22.816162109375
571.7200317382812,334.8333740234375,1921,1406,0.33809062893948105,0.26217528965603953,-6.236358642578125,-11.139404296875
570.993408203125,333.9584655761719,1668,1691,-0.2571755262633548,0.9164076579320962,-8.58526611328125,-19.00347900390625
571.5806274414062,335.3827209472656,1667,1403,-0.2609446728110632,0.22422024320567324,-6.921966552734375,-17.6597900390625
575.2838745117188,341.1692810058594,1809,1422,0.05681677172401097,0.25704317444064956,-7.4598388671875,-20.96466064453125
581.1173706054688,344.0974426269531,1785,1520,-0.01282713529535268,0.47254295529204654,-3.31658935546875,-9.40716552734375
579.066650390625,343.0815734863281,1657,1423,-0.3033422877003877,0.22714803092275238,-6.68292236328125,-9.86505126953125
581.4955444335938,341.3585205078125,1660,1265,-0.29841821396879453,-0.1552073208689647,-7.579345703125,-6.49053955078125
582.8594360351562,341.0697326660156,1714,1334,-0.17731691459290377,-0.0014970720935472176,-7.380096435546875,-4.94744873046875
589.9968872070312,342.5437316894531,1612,1274,-0.42015303575591617,-0.15711335454573458,-7.818389892578125,-2.59820556640625
589.2404174804688,342.3046875,1757,1444,-0.06327917288136084,0.24446457857914847,-6.35430908203125,0.0498046875
596.24853515625,348.6291198730469,1618,1271,-0.38358149764513755,-0.176238301897589,-0.826629638671875,5.65435791015625
590.5245361328125,347.4140319824219,1353,1223,-0.976715813461086,-0.297017366782747,-2.1612548828125,-2.41900634765625
588.9317016601562,349.7644958496094,1824,1222,0.1453402995497831,-0.30558301389462905,7.927886962890625,7.35650634765625
587.986083984375,348.9378662109375,1950,1799,0.42621345630750973,1.0537340069510763,8.017578125,4.04168701171875
587.806884765625,348.4498291015625,1723,1540,-0.11307709100914007,0.4136354324388008,5.846343994140625,6.45068359375
592.5950927734375,350.36212158203125,1679,1253,-0.2188190315286939,-0.281525850057893,13.604949951171875,15.83795166015625
589.1906127929688,348.65899658203125,1576,1228,-0.45567892720627223,-0.3315401578107846,6.553497314453125,3.1258544921875
590.5941772460938,349.45574951171875,1899,1309,0.3021826528630702,-0.14798039838602045,11.39385986328125,12.81170654296875
592.9435424804688,349.5752868652344,1987,1409,0.490587498260292,0.07461323453574581,11.89190673828125,12.62261962890625
581.5751953125,341.83660888671875,1800,1398,0.03535767766404441,0.0334237481455973,3.177154541015625,-2.19000244140625
583.9443969726562,340.9202880859375,1848,1292,0.1379020483015195,-0.24123171882061256,-3.884307861328125,-11.9755859375
581.356201171875,342.6034851074219,1943,1306,0.3503416393697701,-0.2164465016591733,5.78656005859375,-2.040771484375
576.7571411132812,336.7571716308594,1760,1298,-0.10473391536568671,-0.2504498254785271,-3.475921630859375,-4.75836181640625
586.0647583007812,342.1054992675781,1737,1257,-0.17295210161782468,-0.36948140289406783,-0.866485595703125,4.22076416015625
577.782470703125,338.0618896484375,1867,1315,0.13574388425453487,-0.23221897591797208,0.72705078125,10.39276123046875
580.3209228515625,337.6833801269531,1855,1436,0.09233033452908387,0.05710591313139393,0.368499755859375,14.0859375
583.7651977539062,338.6594543457031,1994,1589,0.40933455851270933,0.42619783249677234,5.079437255859375,19.03338623046875
595.9199829101562,344.8045959472656,1931,1542,0.23337850369808855,0.28177277188581207,8.794403076171875,33.34832763671875
583.39697265625,336.8169250488281,1862,1368,0.04370736695294648,-0.19131894410153424,-1.972015380859375,17.8289794921875
581.5155029296875,340.23309326171875,1689,1314,-0.39785877514085766,-0.36104689150387365,0.22906494140625,15.280517578125
581.843994140625,342.97198486328125,1826,1307,-0.0737332121925693,-0.4077256592102769,-3.456024169921875,10.67144775390625
567.3897094726562,337.3348388671875,1650,1352,-0.5425823162747341,-0.3059271707758543,-7.22076416015625,-7.32672119140625
